"Site";"Date";"pH Mean";"pH Se";"Pb..ppm. Mean";"Pb..ppm. Se";"Zn..ppm. Mean";"Zn..ppm. Se";"NO3...mg.L. Mean";"NO3...mg.L. Se"
5;67;8.79666666666667;0.0448454134902453;0.787;0.0161063134619109;0.0529666666666667;0.000935117342607036;100.151515133333;2.78144843469328
5;8;8.82333333333333;0.253924748257782;0.241333333333333;0.0144029318003122;0.41;0.00999999999999999;68.93939394;0.546295647881621
5;98;9.55333333333333;0.0606446846622011;0.821666666666667;0.000666666666666667;0.167366666666667;0.000328295260059876;97.2727272866667;4.29619603838971
6;128;9.59;0.0493288286231624;0.92;0.0429224106188519;0.161;0.000200000000000006;85.6060606066667;1.70748904122261
6;159;9.10666666666667;0.00333333333333326;0.912333333333333;0.0125476868164792;0.0372866666666667;0.000318346422069487;93.9393939366667;0.921630685960458
6;189;8.34666666666667;0.0120185042515464;1.298;0.00907377172587751;0.0655666666666667;0.000233333333333331;128.96744;1.2078306550175
6;220;7.97;0.0458257569495583;1.199;0.00115470053837925;0.0518333333333333;0.000202758751009942;128.67232;0.295120000000007
6;251;7.24333333333333;0.0145296631451355;1.09466666666667;0.00120185042515465;0.0510333333333333;0.0119842025646728;121.737;1.27790708582432
6;294;8.07666666666667;0.0145296631451353;1.105;0.00611010092660779;0.0278333333333333;0.000560753461375357;101.66884;0.147559999999999
6;312;8.25;0.00999999999999979;0.927333333333333;0.00185592145427668;0.0252;0.000208166599946614;97.83228;0.442680000000001
6;342;8.81333333333333;0.061734197258174;0.880333333333333;0.00272845092395749;0.0205;0.000152752523165195;90.0116;1.4756
6;35;8.24333333333333;0.00666666666666652;0.0545;0.000458257569495584;0.0482;0.0015502687938978;87.2727272733333;1.83702358397262
6;67;8.69333333333333;0.017638342073764;0.7566;0.00495210392998101;0.046;0.00145716619962629;95.3030303;0.151515149999999
6;8;9.20666666666667;0.0933333333333337;0.216333333333333;0.00545690184791497;0.373333333333333;0.0145296631451356;70.90909091;1.38865930289043
6;98;9.63666666666667;0.0545690184791501;0.465333333333333;0.00425571511160123;0.161933333333333;0.000145296631451357;90.4545454566667;0.454545453333334
7;128;9.69666666666667;0.042557151116012;1.33766666666667;0.0188355455927822;0.1677;5e-04;83.1818181833333;0.262431940803172
7;159;9.16333333333333;0.00333333333333326;0.935333333333333;0.0064893074446439;0.0589333333333333;0.000392994204085054;96.96969697;3.03030303
