"Site";"Date";"T...C. Mean";"T...C. Se";"Water..cm. Mean";"Water..cm. Se";"Salinity..g.L. Mean";"Salinity..g.L. Se";"pH Mean";"pH Se";"Cd..ppm. Mean";"Cd..ppm. Se";"Pb..ppm. Mean";"Pb..ppm. Se";"Fe..ppm. Mean";"Fe..ppm. Se";"Zn..ppm. Mean";"Zn..ppm. Se";"Cu..ppm. Mean";"Cu..ppm. Se";"P..mg.L. Mean";"P..mg.L. Se";"NO3...mg.L. Mean";"NO3...mg.L. Se"
1;8;4;0;10;0;29.3166666666667;0.299239777510351;8.64333333333333;0.0333333333333338;0.716666666666667;0.0120185042515466;0.43;0.014422205101856;0.125333333333333;0.00145296631451356;0.363333333333333;0.00333333333333334;0.457;0.0231156512634477;4.77046666666667;0.0660993528292405;75.15151515;1.3208784660016
1;98;23;0;30;0;30.9833333333333;0.0554777232569778;8.57666666666667;0.0554777232569773;0.507133333333333;0.00541428152615327;1.04066666666667;0.00260341655863552;1.99666666666667;0.00088191710368817;0.152033333333333;0.00095277372853043;0.115633333333333;0.00378168099013007;4.90086666666667;0.0108666666666668;95;0.694329649263036
2;128;24;0;26;0;30.8233333333333;0.117803980313815;9.65;0.00577350269189613;0.680433333333333;0.0109243357285974;1.696;0.0402864741569673;2.19533333333333;0.00202758751009932;0.174533333333333;0.000617341972581735;0.127933333333333;0.000927960727138338;4.564;0;92.1212121233333;4.01729502443633
2;159;26.6666666666667;0.333333333333333;12;0;32.8833333333333;0.121700908423524;9.15333333333333;0.00333333333333326;0.718333333333333;0.00835330939076112;0.967333333333333;0.0138604152575279;0.2096;9.99999999999983e-05;0.0654333333333333;0.000437162568286799;0.234533333333333;0.000497772817435604;4.8574;0;96.8181818166667;0.946211820486645
2;189;30;0;9.5;0;42.2;0.220529665426976;8.20333333333333;0.0517472489875335;0.772;0.001;1.23466666666667;0.0139323763626709;0.3103;0.00575528742404178;0.073;0.000208166599946615;0.272666666666667;0.000881917103688198;5.44754;0.0326199999999999;145.78928;2.57279651243545
2;220;38;0;6.5;0;54.1033333333333;0.957258817898505;8.14666666666667;0.0218581284143399;0.722;0.00152752523165195;1.26733333333333;0.00218581284143402;0.140333333333333;0.0348632248141856;0.0577333333333333;0.00116093831781787;0.2657;0.00221885856541901;5.77374;0.0326199999999999;140.182;1.4756
2;251;28;0;5;0;54.0933333333333;0.216743576093452;7.22666666666667;0.0202758751009939;0.706;0.00321455025366432;1.19166666666667;0.00523874454850055;0.206333333333333;0.000881917103688198;0.0441666666666667;0.000533333333333332;0.248;0.0030550504633039;6.05644666666667;0.060540157838505;135.7552;2.9512
2;294;23;0;9.2;0;50;0;8.07;0.00999999999999979;0.672333333333333;0.00317979733805649;1.11133333333333;0.00895048105473168;0.173666666666667;0.000666666666666667;0.0363333333333333;0.000272845092395749;0.239666666666667;0.00463081466314993;6.05644666666667;0.0966443006309449;120.9992;1.4756
2;312;12;0;11.3;0;41.5333333333333;0.533333333333334;8.42333333333333;0.0240370085030933;0.655;0.00556776436283003;0.953666666666667;0.0228351580779386;0.141333333333333;0.000666666666666658;0.0314333333333333;0.000145296631451356;0.220666666666667;0.00120185042515466;5.5454;0;118.048;1.4756
2;342;10;0;13;0;39.0366666666667;0.125742240759067;9.04;0.0450924975282292;0.737666666666667;0.000881917103688198;0.841333333333333;0.002185812841434;0.115666666666667;0.000333333333333334;0.0241333333333333;0.00020275875100994;0.186;0.00115470053837925;5.36055333333333;0.0108733333333332;109.78464;0.511162834329726
2;35;9;0;40;0;28.2333333333333;0.202758751009941;9;0.0115470053837923;0.643333333333333;0.017638342073764;0.0314666666666667;0.00184601673280005;0.131333333333333;0.000333333333333334;0.1028;0.00200748598998847;0.399;0.00585946527708231;4.238;0.0188216187755818;82.5757575766667;0.15151515333333
2;67;11;0;30;0;28.8333333333333;0.0881917103688198;8.33666666666667;0.0976956725983524;0.0426666666666667;0.00145296631451356;0.9204;0.0116620467043025;0.356;0.0206639783197718;0.0653333333333333;0.00145296631451356;0.456;0;4.9226;0;99.9999999833333;2.9223183987532
